Unnamed: 0,subarea,ens,unet,fold,Experiment,Nummer,mean,count,Neun_Area,Kondition,Group,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
0,CA1,ens_10,ens_10,bin_average,1,0,0.11503914136386817,14,95877,+,2,0.00014602042199901957,0.00022413114471982773,0.1518506953761509,0.6514954545096823,0.7575806029659828
1,CA1,ens_10,ens_10,bin_average,1,3,0.1728015961335247,52,83538,+,2,0.0006224712107065049,0.00022413114471982773,0.1518506953761509,2.777263336091095,1.1379703972081003
2,CA1,ens_10,ens_10,bin_average,1,9,0.1503602468550032,59,83791,+,2,0.0007041329021016577,0.00022413114471982773,0.1518506953761509,3.1416111445905917,0.9901847764512656
3,CA1,ens_10,ens_10,bin_average,1,12,0.1950495154670199,61,83197,+,2,0.0007331995144055674,0.00022413114471982773,0.1518506953761509,3.271296879878493,1.2844822013087314
4,CA1,ens_10,ens_10,bin_average,1,17,0.171770117284327,66,111795,-,1,0.000590366295451496,0.00022413114471982773,0.1518506953761509,2.634021684891119,1.1311776798837403
5,CA1,ens_10,ens_10,bin_average,1,20,0.10309829840234076,31,94901,-,1,0.00032665619961854986,0.00022413114471982773,0.1518506953761509,1.4574333255955223,0.678945184590396
6,CA1,ens_10,ens_10,bin_average,1,23,0.21312475336410536,77,83461,-,1,0.0009225865973328859,0.00022413114471982773,0.1518506953761509,4.116280218379081,1.4035151622860331
7,CA1,ens_10,ens_10,bin_average,1,26,0.2168370041475864,72,92413,-,1,0.000779111164013721,0.00022413114471982773,0.1518506953761509,3.476139672545905,1.4279618780174648
8,CA1,ens_10,ens_10,bin_average,1,29,0.2008770721227789,77,81900,-,1,0.0009401709401709403,0.00022413114471982773,0.1518506953761509,4.1947358157037415,1.3228590861911051
9,CA1,ens_10,ens_10,bin_average,1,32,0.16738801813826276,77,110975,-,1,0.0006938499662086055,0.00022413114471982773,0.1518506953761509,3.0957320415060736,1.1023197340231088
10,CA1,ens_10,ens_10,bin_average,1,52,0.1727310539266246,31,112911,H,0,0.0002745525236690845,0.00022413114471982773,0.1518506953761509,1.2249637327837029,1.1375058474296134
11,CA1,ens_10,ens_10,bin_average,1,55,0.15975534506960765,14,88942,H,0,0.00015740594994490792,0.00022413114471982773,0.1518506953761509,0.7022939633921523,1.0520554066208
12,CA1,ens_10,ens_10,bin_average,1,58,0.1804431002811739,31,88011,H,0,0.0003522286986853916,0.00022413114471982773,0.1518506953761509,1.5715294682748824,1.1882928809393758
13,CA1,ens_10,ens_10,bin_average,1,61,0.13236379796536518,23,97461,H,0,0.0002359918326304881,0.00022413114471982773,0.1518506953761509,1.0529185175290414,0.8716706738647819
14,CA1,ens_10,ens_10,bin_average,1,70,0.1578982329183018,91,119358,-,1,0.0007624122388109719,0.00022413114471982773,0.1518506953761509,3.4016345196648845,1.0398255505328473
15,CA1,ens_10,ens_10,bin_average,1,80,0.18480220131940214,99,96004,-,1,0.00103120703304029,0.00022413114471982773,0.1518506953761509,4.600909143302405,1.2169993746925345
16,CA1,ens_10,ens_10,bin_average,1,95,0.15603302658822388,86,95138,-,1,0.0009039500515041306,0.00022413114471982773,0.1518506953761509,4.033130034802178,1.027542390910446
17,CA1,ens_10,ens_10,bin_average,1,104,0.17132883830361104,78,95714,+,2,0.000814927805754644,0.00022413114471982773,0.1518506953761509,3.635941835630805,1.1282716742205932
18,CA1,ens_10,ens_10,bin_average,1,107,0.2072708891552587,79,83766,+,2,0.0009431034071102836,0.00022413114471982773,0.1518506953761509,4.207819525881589,1.364965031222451
19,CA1,ens_10,ens_10,bin_average,1,142,0.11876648665937785,15,128069,H,0,0.00011712436264825992,0.00022413114471982773,0.1518506953761509,0.5225706708216287,0.7821267223385457
20,CA1,ens_10,ens_10,bin_average,1,147,0.13670357026486585,15,112839,H,0,0.00013293276260867252,0.00022413114471982773,0.1518506953761509,0.5931025907838172,0.9002498798325292
21,CA1,ens_10,ens_10,bin_average,1,153,0.17905680554348122,27,83329,H,0,0.0003240168488761416,0.00022413114471982773,0.1518506953761509,1.44565740420045,1.1791635533833928
22,CA1,ens_10,ens_10,bin_average,1,156,0.13498540329871106,18,90545,H,0,0.00019879617869567617,0.00022413114471982773,0.1518506953761509,0.8869636522143265,0.8889350355909621
23,CA1,ens_10,ens_10,bin_average,2,432,0.16608175109367213,5,101384,H,0,4.9317446539887954e-05,5.067150310303821e-05,0.1722766549040584,0.9732777502100768,0.9640409560202092
24,CA1,ens_10,ens_10,bin_average,2,438,0.13342837254433212,3,96290,H,0,3.1155883269290684e-05,5.067150310303821e-05,0.1722766549040584,0.6148600566661029,0.7745005997396394
25,CA1,ens_10,ens_10,bin_average,2,441,0.18126451655475395,5,85634,H,0,5.838802344863022e-05,5.067150310303821e-05,0.1722766549040584,1.1522852071291592,1.0521710945438365
26,CA1,ens_10,ens_10,bin_average,2,447,0.1803304213485669,4,84565,H,0,4.730089280435168e-05,5.067150310303821e-05,0.1722766549040584,0.9334811463588806,1.0467490296290791
27,CA1,ens_10,ens_10,bin_average,2,453,0.20027821297896697,6,89292,H,0,6.719526945303051e-05,5.067150310303821e-05,0.1722766549040584,1.3260958396357805,1.162538320067236
28,CA1,ens_10,ens_10,bin_average,2,494,0.1894855865133084,19,110688,+,2,0.0001716536571263371,5.067150310303821e-05,0.1722766549040584,3.387577762934862,1.0998912569949404
29,CA1,ens_10,ens_10,bin_average,2,500,0.17453740329857262,33,87246,+,2,0.0003782408362561034,5.067150310303821e-05,0.1722766549040584,7.464567125371588,1.0131227785666794
30,CA1,ens_10,ens_10,bin_average,2,507,0.18169297598684192,27,88433,+,2,0.00030531588886501643,5.067150310303821e-05,0.1722766549040584,6.025396330639143,1.0546581374477435
