ens,unet,fold,Nummer,mean,count,Neun_Area,Kondition,Group,Area,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
ens_a1,ens_a1,bin_average,1063,0.03649459783913567,1,409334,Ctrl,0,BLA,2.4429927638554337e-06,4.303538740732456e-05,0.05876339858422429,0.05676706801156017,0.6210430083758475
ens_a1,ens_a1,bin_average,1064,0.0365546218487395,1,260641,Ctrl,0,BLA,3.836694917530243e-06,4.303538740732456e-05,0.05876339858422429,0.08915209432684792,0.622064460692255
ens_a1,ens_a1,bin_average,1065,0.03403046056258074,16,404056,Ctrl,0,BLA,3.959847149900014e-05,4.303538740732456e-05,0.05876339858422429,0.9201374469853276,0.5791098095493171
ens_a1,ens_a1,bin_average,1066,0.03599567615738671,31,350413,Ctrl,0,BLA,8.846703746721725e-05,4.303538740732456e-05,0.05876339858422429,2.0556812148543666,0.6125526607484232
ens_a1,ens_a1,bin_average,1067,0.0764034472044333,14,308418,Ctrl,0,BLA,4.539294074924291e-05,4.303538740732456e-05,0.05876339858422429,1.0547817385632992,1.3001876856207681
ens_a1,ens_a1,bin_average,1068,0.09522522839201457,56,423011,Ctrl,0,BLA,0.00013238426423899143,4.303538740732456e-05,0.05876339858422429,3.0761722436931014,1.6204853818236933
ens_a1,ens_a1,bin_average,1069,0.06931256818928258,21,433601,Ctrl,0,BLA,4.843162262079654e-05,4.303538740732456e-05,0.05876339858422429,1.1253906503128992,1.1795193923295366
ens_a1,ens_a1,bin_average,1070,0.08658748351449136,12,411937,Ctrl,0,BLA,2.9130668039044805e-05,4.303538740732456e-05,0.05876339858422429,0.6769003323550146,1.4734934602257121
ens_a1,ens_a1,bin_average,1071,0.05373019137725019,5,311541,Ctrl,0,BLA,1.6049251944366874e-05,4.303538740732456e-05,0.05876339858422429,0.3729315084923649,0.9143479218656813
ens_a1,ens_a1,bin_average,1072,0.06329971075692829,8,324940,Ctrl,0,BLA,2.4619929833199975e-05,4.303538740732456e-05,0.05876339858422429,0.5720857024052187,1.0771962187687665
ens_a1,ens_a1,bin_average,1073,0.1469371036615614,26,331454,Ext,1,BLA,7.844225744748894e-05,4.303538740732456e-05,0.05876339858422429,1.8227384990180937,2.50048682005619
ens_a1,ens_a1,bin_average,1074,0.12322103494139343,69,504434,Ext,1,BLA,0.000136786973122351,4.303538740732456e-05,0.05876339858422429,3.178476629655483,2.096901096773418
